datetime,co,no2,o3,pm10,pm25,so2
2023-03-22 00:00:00+00:00,0.7000000000000001,30.1,27.25,21.8,20.799999999999997,9.149999999999999
2023-03-22 01:00:00+00:00,0.7000000000000001,23.849999999999998,27.2,28.299999999999997,25.85,10.2
2023-03-22 02:00:00+00:00,0.7000000000000001,21.95,27.95,28.6,26.85,9.35
2023-03-22 03:00:00+00:00,0.7000000000000001,22.65,29.950000000000003,26.1,24.75,9.8
2023-03-22 04:00:00+00:00,0.7000000000000001,20.75,26.8,27.8,25.3,10.1
2023-03-22 05:00:00+00:00,0.7000000000000001,19.549999999999997,23.85,25.049999999999997,23.35,10.35
2023-03-22 06:00:00+00:00,0.7000000000000001,26.25,13.35,26.299999999999997,24.35,9.5
2023-03-22 07:00:00+00:00,0.75,28.65,8.6,29.55,26.1,11.55
2023-03-22 09:00:00+00:00,1.0,2.5,37.3,15.85,9.649999999999999,9.95
2023-03-22 10:00:00+00:00,0.55,4.2,36.7,14.15,7.949999999999999,9.7
2023-03-22 11:00:00+00:00,0.55,5.5,37.15,13.05,7.1,8.75
2023-03-22 12:00:00+00:00,0.55,3.9,40.85,10.1,5.4,7.8
2023-03-22 13:00:00+00:00,0.55,3.3,42.65,8.75,4.85,10.45
2023-03-22 14:00:00+00:00,0.55,31.95,44.0,8.65,4.8,12.7
2023-03-22 15:00:00+00:00,0.55,29.45,43.199999999999996,10.25,5.85,11.899999999999999
2023-03-22 16:00:00+00:00,0.6,8.7,34.05,15.75,9.15,11.149999999999999
2023-03-22 17:00:00+00:00,0.65,38.35,22.35,28.65,17.15,10.65
2023-03-22 18:00:00+00:00,0.7,62.2,17.75,34.9,23.55,12.3
2023-03-22 19:00:00+00:00,0.75,37.6,22.05,35.650000000000006,24.299999999999997,14.149999999999999
2023-03-22 20:00:00+00:00,0.75,38.2,2.6,35.5,23.3,11.05
2023-03-22 22:00:00+00:00,1.0499999999999998,37.650000000000006,8.0,66.5,47.55,6.7
2023-03-22 23:00:00+00:00,0.5,35.45,8.15,49.150000000000006,37.099999999999994,8.399999999999999
2023-03-24 00:00:00+00:00,0.4,31.549999999999997,15.549999999999999,41.45,30.950000000000003,8.95
2023-03-24 01:00:00+00:00,0.95,24.65,22.2,34.05,27.15,7.95
2023-03-24 02:00:00+00:00,0.8,16.900000000000002,27.85,26.3,21.2,8.15
2023-03-24 03:00:00+00:00,0.75,2.4,36.55,23.85,20.15,6.449999999999999
2023-03-24 04:00:00+00:00,0.75,11.7,29.95,25.45,21.55,6.4
2023-03-24 05:00:00+00:00,0.75,16.85,24.2,24.55,19.95,6.800000000000001
2023-03-24 06:00:00+00:00,0.75,18.7,17.75,32.8,24.049999999999997,7.85
2023-03-24 07:00:00+00:00,0.75,21.05,23.950000000000003,40.8,27.9,9.95
2023-03-24 08:00:00+00:00,1.1,13.8,43.8,39.75,27.4,13.3
2023-03-24 09:00:00+00:00,0.7000000000000001,12.4,61.400000000000006,32.05,21.549999999999997,11.6
2023-03-24 10:00:00+00:00,0.65,10.55,73.69999999999999,26.400000000000002,17.5,10.2
2023-03-24 11:00:00+00:00,0.65,9.3,81.6,23.549999999999997,14.350000000000001,9.6
2023-03-24 12:00:00+00:00,0.55,4.85,89.0,11.75,7.25,8.65
2023-03-24 13:00:00+00:00,0.55,5.199999999999999,89.2,10.5,5.5,8.05
2023-03-24 14:00:00+00:00,0.55,4.4,87.6,11.65,5.6,8.5
2023-03-24 16:00:00+00:00,0.55,6.75,74.19999999999999,15.15,6.3,9.0
2023-03-24 17:00:00+00:00,0.9,19.55,42.45,28.15,10.1,6.949999999999999
2023-03-24 19:00:00+00:00,1.0,10.1,43.35,29.45,12.45,8.4
2023-03-24 20:00:00+00:00,0.9,9.799999999999999,48.3,23.5,10.350000000000001,8.95
2023-03-25 03:00:00+00:00,1.1,9.7,37.3,13.5,8.95,7.5
2023-03-25 04:00:00+00:00,1.0,9.45,40.75,9.9,7.2,6.95
2023-03-25 05:00:00+00:00,1.0,7.8999999999999995,43.650000000000006,8.899999999999999,6.65,7.1
2023-03-25 06:00:00+00:00,1.0,17.05,30.85,15.649999999999999,9.3,8.3
2023-03-25 07:00:00+00:00,1.0,18.25,28.85,21.75,12.600000000000001,7.7
2023-03-25 08:00:00+00:00,1.0,13.100000000000001,56.55,20.25,9.85,11.399999999999999
2023-03-25 09:00:00+00:00,0.9,21.6,57.3,21.05,9.7,22.1
2023-03-25 10:00:00+00:00,0.9,14.25,59.7,19.8,8.25,21.0
2023-03-25 11:00:00+00:00,0.9,11.75,66.45,23.9,8.399999999999999,9.0
2023-03-25 12:00:00+00:00,0.9,10.3,71.80000000000001,21.55,8.8,6.8
2023-03-25 13:00:00+00:00,0.9,13.8,75.7,14.5,5.3,9.0
2023-03-25 14:00:00+00:00,0.9,9.3,82.3,11.8,4.3,8.3
2023-03-25 15:00:00+00:00,0.9,7.3,85.9,16.2,4.4,8.8
2023-03-25 16:00:00+00:00,0.9,8.4,85.4,15.3,4.7,8.7
2023-03-25 17:00:00+00:00,0.9,12.5,87.1,17.2,7.5,8.6
2023-03-25 18:00:00+00:00,0.9,4.8,93.4,14.4,8.6,9.1
2023-03-25 19:00:00+00:00,0.9,,97.1,15.6,8.5,9.2
2023-03-25 20:00:00+00:00,0.9,7.6,87.65,19.6,10.8,10.25
2023-03-25 21:00:00+00:00,1.0,19.05,66.35,24.6,15.85,9.45
2023-03-25 22:00:00+00:00,1.0,14.8,81.94999999999999,17.15,10.25,11.65
2023-03-25 23:00:00+00:00,1.0,7.5,67.8,13.850000000000001,10.8,9.899999999999999
2023-03-26 00:00:00+00:00,0.9,14.4,71.15,5.949999999999999,4.85,9.850000000000001
2023-03-26 01:00:00+00:00,0.9,14.4,71.15,5.949999999999999,4.85,9.850000000000001
2023-03-26 02:00:00+00:00,,6.05,65.75,6.1499999999999995,4.75,7.6
2023-03-26 03:00:00+00:00,0.9,3.4499999999999997,69.4,4.8,4.0,8.8
2023-03-31 00:00:00+00:00,0.8,8.4,49.650000000000006,28.55,15.8,8.75
2023-03-31 01:00:00+00:00,0.7000000000000001,12.4,63.05,17.1,7.85,9.3
2023-03-31 02:00:00+00:00,0.7000000000000001,12.45,53.05,17.6,11.25,7.65
2023-03-31 03:00:00+00:00,0.7000000000000001,9.3,48.65,17.0,11.9,7.0
2023-03-31 04:00:00+00:00,0.7000000000000001,10.5,44.099999999999994,14.2,10.4,6.8
2023-03-31 05:00:00+00:00,0.7000000000000001,18.45,36.7,13.35,9.35,6.550000000000001
2023-03-31 06:00:00+00:00,1.1,60.6,,20.9,9.6,
2023-03-31 07:00:00+00:00,,39.3,52.5,17.9,7.6,10.5
2023-03-31 08:00:00+00:00,0.65,17.25,67.25,20.1,7.949999999999999,10.1
2023-03-31 09:00:00+00:00,0.65,13.399999999999999,79.94999999999999,18.9,6.800000000000001,6.3
2023-03-31 10:00:00+00:00,0.65,9.4,88.05,15.05,5.85,4.45
2023-03-31 11:00:00+00:00,0.65,7.6000000000000005,90.35,19.15,6.15,4.25
2023-03-31 12:00:00+00:00,0.65,6.25,92.55,17.2,5.4,5.949999999999999
2023-03-31 13:00:00+00:00,1.0,7.8,91.6,24.6,5.5,7.5
2023-03-31 14:00:00+00:00,1.0,7.0,90.4,23.5,5.2,8.2
2023-03-31 15:00:00+00:00,1.0,8.4,89.6,18.4,4.6,8.3
2023-03-31 16:00:00+00:00,1.0,9.5,89.0,11.0,3.9,7.6
2023-03-31 17:00:00+00:00,1.0,16.0,80.1,10.4,5.1,7.9
2023-03-31 18:00:00+00:00,1.0,10.5,89.3,8.8,4.2,9.0
2023-03-31 19:00:00+00:00,1.0,4.7,92.5,7.1,3.3,7.7
2023-03-31 21:00:00+00:00,0.8,29.9,33.15,33.8,19.1,8.2
2023-03-31 22:00:00+00:00,1.1,40.0,51.9,12.7,6.5,8.2
